,episode,step,action,reward
54,1,55,"6,4,6,4,5",0
55,1,56,"3,1,6,4,3",1
56,1,57,"1,4,5,4,2",0
57,1,58,"4,4,2,4,3",0
58,1,59,"1,0,4,3,3",0
59,1,60,"2,4,5,2,2",0
60,1,61,"1,4,6,4,3",0
61,1,62,"4,3,5,1,4",1
62,1,63,"4,0,5,1,7",0
63,1,64,"4,4,6,4,6",0
64,1,65,"6,4,5,4,3",0
65,1,66,"1,2,4,2,7",-51
66,1,67,"4,0,6,4,4",0
67,1,68,"1,1,5,3,3",2
68,1,69,"4,4,5,4,6",0
69,1,70,"4,4,1,4,1",1
70,1,71,"4,6,4,6,3",0
71,1,72,"6,0,6,4,3",1
72,1,73,"6,4,6,4,6",0
73,1,74,"0,4,1,2,4",0
74,1,75,"4,5,1,4,3",1
75,1,76,"4,0,6,2,6",1
76,1,77,"5,4,5,6,5",0
77,1,78,"4,4,6,4,3",1
78,1,79,"1,4,6,4,3",0
79,1,80,"7,7,1,4,3",-1
80,1,81,"4,7,6,4,6",-1
81,1,82,"7,0,4,7,0",-1
82,1,83,"2,4,6,2,0",2
83,1,84,"3,6,6,4,0",0
84,1,85,"4,0,5,5,3",0
85,1,86,"1,0,6,4,7",-1
86,1,87,"4,4,1,2,3",1
87,1,88,"5,0,6,4,3",0
88,1,89,"0,4,5,4,3",1
89,1,90,"4,7,5,7,3",-2
90,1,91,"3,7,5,4,3",-1
91,1,92,"4,7,1,4,2",-1
92,1,93,"4,4,6,4,4",0
93,1,94,"4,7,7,7,1",-2
94,1,95,"4,4,2,4,3",1
95,1,96,"4,1,6,7,3",-1
96,1,97,"1,4,5,5,3",0
97,1,98,"4,3,1,3,3",1
98,1,99,"2,0,2,7,6",-50
99,1,100,"4,0,6,2,3",1
100,1,101,"2,6,0,2,3",2
101,1,102,"1,0,5,4,6",1
102,1,103,"2,2,7,4,1",0
103,1,104,"2,0,6,2,6",0
104,1,105,"1,0,6,5,3",0
105,1,106,"4,0,6,4,6",1
106,1,107,"4,6,2,2,6",1
107,1,108,"2,4,5,1,3",0
108,1,109,"4,0,6,5,3",0
109,1,110,"4,6,5,1,3",1
110,1,111,"6,0,6,4,3",0
111,1,112,"5,2,2,7,3",-1
112,1,113,"4,0,5,6,3",0
113,1,114,"1,4,6,7,6",-1
114,1,115,"4,0,5,2,3",0
115,1,116,"4,0,1,5,3",0
116,1,117,"5,0,6,4,6",0
117,1,118,"3,6,6,4,7",-1
118,1,119,"4,4,7,7,6",-2
119,1,120,"2,0,6,7,3",-1
120,1,121,"4,4,5,5,3",0
121,1,122,"4,4,6,7,6",-1
122,1,123,"2,5,1,3,3",0
123,1,124,"4,4,5,4,3",0
124,1,125,"2,4,4,3,2",0
125,1,126,"2,4,7,5,1",-1
126,1,127,"4,6,6,4,3",0
127,1,128,"4,4,5,7,7",-2
128,1,129,"2,6,6,1,3",0
129,1,130,"0,0,6,7,7",-2
130,1,131,"4,4,2,6,4",0
131,1,132,"0,0,5,6,6",1
132,1,133,"2,4,2,4,3",0
133,1,134,"2,7,4,7,3",-2
134,1,135,"1,7,5,4,2",-1
135,1,136,"2,0,4,7,6",-1
136,1,137,"4,4,0,4,3",1
137,1,138,"3,4,0,0,4",0
138,1,139,"1,3,6,4,6",1
139,1,140,"3,0,6,2,7",-1
140,1,141,"7,4,5,1,7",-2
141,1,142,"6,4,1,1,6",1
142,1,143,"2,4,5,4,6",0
143,1,144,"1,4,6,6,4",0
144,1,145,"2,4,5,2,5",0
145,1,146,"4,4,6,4,4",0
146,1,147,"2,4,1,1,3",1
147,1,148,"5,0,6,5,3",0
148,1,149,"5,0,5,2,2",0
149,1,150,"2,4,6,5,7",-1
150,1,151,"4,0,5,4,1",1
151,1,152,"4,4,4,2,3",0
152,1,153,"2,4,7,2,4",-1
153,1,154,"4,0,4,4,5",0
154,1,155,"4,4,4,0,6",0
155,1,156,"4,4,1,4,6",1
156,1,157,"6,7,1,4,6",-1
157,1,158,"2,6,2,1,4",0
158,1,159,"2,7,5,4,6",-1
159,1,160,"4,0,5,4,7",-1
160,1,161,"0,4,6,3,3",0
161,1,162,"4,0,1,6,3",0
162,1,163,"2,7,5,7,3",-2
163,1,164,"2,7,2,4,2",-1
164,1,165,"4,0,6,3,4",1
165,1,166,"2,4,1,1,4",1
166,1,167,"4,1,4,1,3",0
167,1,168,"2,7,6,2,5",-1
168,1,169,"4,3,6,4,3",0
169,1,170,"2,4,5,2,3",0
170,1,171,"5,4,6,5,3",0
171,1,172,"4,4,6,2,4",0
172,1,173,"1,0,6,4,6",0
173,1,174,"4,0,4,4,3",1
174,1,175,"4,4,7,1,5",0
175,1,176,"5,3,0,4,1",0
176,1,177,"5,4,5,4,6",0
177,1,178,"4,4,6,4,4",0
178,1,179,"5,2,4,4,6",0
179,1,180,"1,0,5,6,3",0
180,1,181,"4,4,1,4,5",0
181,1,182,"4,4,5,4,3",0
182,1,183,"7,7,5,7,3",-3
183,1,184,"4,4,4,4,7",-1
184,1,185,"5,7,4,4,3",-1
185,1,186,"1,7,6,4,3",-1
186,1,187,"4,0,2,3,4",3
187,1,188,"4,4,5,4,3",0
188,1,189,"2,0,5,5,3",1
189,1,190,"4,7,5,4,7",-2
190,1,191,"4,3,6,7,3",-50
191,1,192,"2,2,5,5,3",1
192,1,193,"1,3,2,4,3",0
193,1,194,"4,4,4,1,4",0
194,1,195,"4,4,2,2,3",0
195,1,196,"6,3,1,4,4",0
196,1,197,"4,0,6,3,4",0
197,1,198,"1,0,6,4,3",1
198,1,199,"3,4,4,4,7",-1
199,1,200,"1,4,6,4,3",0
200,1,201,"1,2,5,6,2",0
201,1,202,"2,4,6,7,2",-1
202,1,203,"2,0,1,6,4",2
203,1,204,"4,4,2,4,4",0
204,1,205,"5,4,4,5,6",0
205,1,206,"4,7,4,0,6",-1
206,1,207,"1,0,6,1,6",0
207,1,208,"2,0,6,5,4",0
208,1,209,"0,4,2,4,3",1
209,1,210,"4,4,1,5,3",1
210,1,211,"3,6,5,4,4",0
211,1,212,"4,4,7,4,6",-1
212,1,213,"5,4,7,4,4",-1
213,1,214,"0,4,5,1,3",1
214,1,215,"4,0,6,3,3",2
215,1,216,"1,5,5,5,6",0
216,1,217,"4,4,6,7,7",-52
217,1,218,"4,4,4,4,4",0
218,1,219,"4,0,6,4,6",0
219,1,220,"2,4,6,2,6",0
220,1,221,"4,6,5,4,3",0
221,1,222,"2,4,6,4,6",0
222,1,223,"5,4,1,4,4",0
223,1,224,"2,4,4,7,6",-1
224,1,225,"4,4,6,4,6",0
225,1,226,"2,6,6,3,4",0
226,1,227,"1,0,6,4,1",0
227,1,228,"5,7,6,4,3",-51
228,1,229,"3,2,4,4,3",1
229,1,230,"2,2,5,7,2",-1
230,1,231,"0,4,5,4,3",0
231,1,232,"4,4,4,7,3",0
232,1,233,"1,6,5,4,3",0
233,1,234,"1,0,6,4,5",0
234,1,235,"0,0,6,7,3",-1
235,1,236,"2,0,6,3,3",2
236,1,237,"4,0,5,2,3",1
237,1,238,"1,4,6,5,5",1
238,1,239,"2,4,4,6,6",0
239,1,240,"2,2,6,4,3",1
240,1,241,"0,0,7,4,3",-1
241,1,242,"5,6,2,3,3",0
242,1,243,"3,0,2,4,3",2
243,1,244,"5,4,5,1,6",1
244,1,245,"2,3,6,4,3",0
245,1,246,"1,7,5,4,6",-1
246,1,247,"4,0,5,4,3",0
247,1,248,"4,4,5,3,4",0
248,1,249,"2,4,2,2,6",0
249,1,250,"4,1,4,4,3",0
250,1,251,"5,0,4,4,6",0
251,1,252,"4,4,5,3,3",0
252,1,253,"4,2,6,4,3",0
253,1,254,"1,4,1,3,0",0
254,1,255,"0,0,1,7,3",-1
255,1,256,"4,4,6,2,3",0
256,1,257,"1,3,6,3,6",0
257,1,258,"4,0,5,4,5",0
258,1,259,"5,4,6,4,6",0
259,1,260,"2,7,6,4,3",-1
260,1,261,"4,0,5,4,6",0
261,1,262,"4,4,2,4,1",0
262,1,263,"4,3,6,4,3",0
263,1,264,"4,6,5,2,4",0
264,1,265,"4,4,5,4,3",0
265,1,266,"4,4,5,5,4",0
266,1,267,"2,7,6,3,7",-2
267,1,268,"2,6,4,4,7",-1
268,1,269,"0,4,1,4,5",0
269,1,270,"4,4,6,4,3",1
270,1,271,"1,0,6,2,1",1
271,1,272,"6,0,4,7,3",-50
272,1,273,"4,4,5,4,6",0
273,1,274,"3,6,6,1,3",0
274,1,275,"3,4,5,2,3",1
275,1,276,"2,0,1,1,3",0
276,1,277,"4,6,4,2,6",0
277,1,278,"0,7,4,2,4",0
278,1,279,"2,0,4,6,6",0
279,1,280,"0,4,2,7,3",-51
280,1,281,"0,4,6,6,3",1
281,1,282,"4,6,6,2,3",1
282,1,283,"0,0,6,2,7",0
283,1,284,"4,6,5,4,7",-1
284,1,285,"1,7,1,4,2",-1
285,1,286,"4,6,2,5,3",0
286,1,287,"1,4,6,4,4",0
287,1,288,"1,4,7,7,4",-2
288,1,289,"1,0,2,4,3",0
289,1,290,"0,4,4,4,3",0
290,1,291,"4,4,6,2,3",0
291,1,292,"6,0,6,7,3",-1
292,1,293,"1,7,6,1,6",0
293,1,294,"2,0,6,5,4",1
294,1,295,"3,5,1,4,7",-1
295,1,296,"2,4,2,3,3",0
296,1,297,"0,0,5,4,7",-1
297,1,298,"2,7,5,4,7",-2
298,1,299,"2,0,5,5,3",0
299,1,300,"2,4,6,4,3",0
300,1,301,"5,4,5,7,4",-1
301,1,302,"4,7,2,6,6",0
302,1,303,"2,4,6,4,6",0
303,1,304,"3,0,4,4,3",0
304,1,305,"7,4,4,5,7",-2
305,1,306,"5,4,5,2,6",0
306,1,307,"3,4,1,4,6",0
307,1,308,"4,0,5,4,3",0
308,1,309,"4,0,4,4,0",1
309,1,310,"4,0,6,0,6",0
310,1,311,"5,4,1,4,6",0
311,1,312,"4,4,2,5,3",0
312,1,313,"1,0,6,2,2",0
313,1,314,"2,2,5,6,7",-1
314,1,315,"4,0,5,3,5",0
315,1,316,"2,7,6,4,3",-1
316,1,317,"4,4,6,4,3",1
317,1,318,"4,0,6,4,7",-1
318,1,319,"4,4,6,5,3",0
319,1,320,"1,4,6,5,4",0
320,1,321,"1,4,5,5,4",0
321,1,322,"4,4,6,7,7",-2
322,1,323,"1,4,6,4,6",0
323,1,324,"4,7,7,7,6",-3
324,1,325,"4,0,4,4,3",1
325,1,326,"2,4,5,4,7",-1
326,1,327,"4,0,5,5,3",0
327,1,328,"4,5,5,2,6",0
328,1,329,"2,4,4,4,7",-1
329,1,330,"4,0,5,4,2",2
330,1,331,"4,3,5,4,3",0
331,1,332,"4,4,7,3,6",-1
332,1,333,"4,0,4,7,4",-1
333,1,334,"4,7,5,1,6",-1
334,1,335,"4,0,1,6,4",0
335,1,336,"4,0,6,7,6",-1
336,1,337,"5,4,1,5,3",1
337,1,338,"4,4,5,4,6",0
338,1,339,"0,0,6,4,3",1
339,1,340,"6,4,4,4,3",0
340,1,341,"4,0,6,4,7",0
341,1,342,"2,3,5,7,3",1
342,1,343,"1,4,6,2,3",1
343,1,344,"4,0,5,4,6",0
344,1,345,"7,4,6,4,4",-1
345,1,346,"4,4,6,4,5",0
346,1,347,"5,6,5,6,3",0
347,1,348,"4,0,5,4,6",1
348,1,349,"4,5,5,4,7",-1
349,1,350,"3,0,2,7,4",0
350,1,351,"4,4,6,3,3",1
351,1,352,"4,0,1,2,1",2
352,1,353,"4,4,6,4,3",1
353,1,354,"4,4,6,5,3",1
354,1,355,"5,4,5,2,3",0
355,1,356,"5,7,5,2,6",-1
356,1,357,"4,4,1,5,7",-1
357,1,358,"7,4,6,2,3",0
358,1,359,"4,4,6,5,7",-1
359,1,360,"6,0,2,0,3",1
360,1,361,"4,0,4,4,3",0
361,1,362,"4,0,6,4,3",0
362,1,363,"4,4,1,4,4",0
363,1,364,"4,4,7,5,6",-1
364,1,365,"3,4,6,1,3",1
365,1,366,"4,0,5,0,3",0
366,1,367,"2,0,0,2,1",0
367,1,368,"4,4,6,4,1",0
368,1,369,"2,0,4,4,2",1
369,1,370,"2,6,6,4,2",0
370,1,371,"4,4,5,4,4",0
371,1,372,"1,6,2,3,3",1
372,1,373,"4,7,3,3,3",0
373,1,374,"2,4,6,4,0",0
374,1,375,"4,4,1,1,0",1
375,1,376,"4,0,4,2,3",0
376,1,377,"4,7,6,4,3",-1
377,1,378,"2,0,5,7,3",-1
378,1,379,"1,4,6,1,2",1
379,1,380,"4,4,6,1,3",0
380,1,381,"1,4,4,1,6",0
381,1,382,"4,4,4,2,5",0
382,1,383,"4,0,4,4,3",0
383,1,384,"4,0,4,7,3",0
384,1,385,"1,0,4,4,3",0
385,1,386,"2,4,7,2,6",1
386,1,387,"1,4,5,2,4",0
387,1,388,"3,0,2,1,3",1
388,1,389,"4,0,1,4,4",2
389,1,390,"2,0,6,7,3",0
390,1,391,"2,4,1,2,3",0
391,1,392,"5,0,1,2,7",1
392,1,393,"4,0,6,1,5",1
393,1,394,"1,4,5,4,6",0
394,1,395,"4,3,6,4,3",0
395,1,396,"2,6,5,4,6",0
396,1,397,"4,5,1,3,1",0
397,1,398,"4,6,7,4,6",-1
398,1,399,"3,0,6,5,7",-1
399,1,400,"4,4,6,1,4",0
400,1,401,"2,3,1,0,6",1
401,1,402,"4,4,4,3,3",0
402,1,403,"4,2,2,5,3",1
403,1,404,"4,0,1,7,6",1
404,1,405,"7,0,1,7,5",-1
405,1,406,"4,6,6,4,6",0
406,1,407,"4,4,6,2,6",0
407,1,408,"2,4,5,4,3",1
408,1,409,"2,4,5,4,3",1
409,1,410,"4,4,6,2,3",1
410,1,411,"4,5,6,4,4",0
411,1,412,"4,7,6,7,5",-2
412,1,413,"4,0,5,2,3",3
413,1,414,"2,0,4,4,3",0
414,1,415,"1,0,6,4,3",0
415,1,416,"4,2,5,6,1",1
416,1,417,"5,4,7,4,4",-1
417,1,418,"4,2,4,3,2",0
418,1,419,"0,4,6,6,3",0
419,1,420,"5,0,5,3,6",0
420,1,421,"4,0,5,2,2",1
421,1,422,"1,4,7,4,6",-1
422,1,423,"4,0,6,5,6",0
423,1,424,"4,6,5,4,3",0
424,1,425,"1,4,5,4,6",0
425,1,426,"7,4,4,0,4",0
426,1,427,"1,0,7,4,3",0
427,1,428,"6,4,5,7,6",-1
428,1,429,"4,0,6,1,5",0
429,1,430,"4,2,1,4,6",1
430,1,431,"5,0,6,4,3",2
431,1,432,"1,0,6,4,6",1
432,1,433,"5,4,4,4,6",0
433,1,434,"0,2,5,4,6",0
434,1,435,"4,2,6,4,6",0
435,1,436,"1,0,6,7,3",0
436,1,437,"3,4,6,7,6",-1
437,1,438,"4,0,6,4,6",1
438,1,439,"2,4,5,4,6",0
439,1,440,"1,4,2,5,3",2
440,1,441,"4,4,1,4,3",0
441,1,442,"4,7,1,4,3",0
442,1,443,"0,2,6,4,4",0
443,1,444,"2,7,5,4,3",-1
444,1,445,"5,0,6,1,6",2
445,1,446,"2,3,5,4,4",0
446,1,447,"2,4,1,7,3",0
447,1,448,"2,6,6,3,3",1
448,1,449,"4,6,5,2,6",0
449,1,450,"2,7,6,2,6",-1
450,1,451,"1,4,6,7,6",-1
451,1,452,"4,4,5,1,1",2
452,1,453,"4,0,2,4,6",0
453,1,454,"4,4,4,4,7",-1
454,1,455,"7,4,1,4,3",0
455,1,456,"5,6,2,4,3",1
456,1,457,"2,4,0,2,7",0
457,1,458,"2,4,6,4,3",0
458,1,459,"2,4,6,2,7",-1
459,1,460,"4,7,5,5,6",-1
460,1,461,"1,6,6,3,2",0
461,1,462,"4,5,2,4,3",0
462,1,463,"4,0,6,4,3",0
463,1,464,"5,0,6,4,1",0
464,1,465,"3,0,1,5,1",1
465,1,466,"1,4,2,4,3",2
466,1,467,"1,4,7,7,3",-1
467,1,468,"4,0,2,5,3",1
468,1,469,"7,4,6,5,5",-1
469,1,470,"3,3,2,0,3",3
470,1,471,"2,0,4,4,6",0
471,1,472,"0,7,4,5,6",-1
472,1,473,"1,4,5,1,3",0
473,1,474,"4,0,6,7,1",-1
474,1,475,"4,7,2,2,3",1
475,1,476,"4,4,6,4,6",0
476,1,477,"4,0,6,3,4",0
477,1,478,"3,4,6,4,7",-1
478,1,479,"5,4,5,4,2",1
479,1,480,"4,0,6,6,4",0
480,1,481,"1,4,5,4,7",-1
481,1,482,"0,4,6,3,6",0
482,1,483,"2,4,2,2,3",0
483,1,484,"0,4,5,4,3",0
484,1,485,"4,4,5,1,6",1
485,1,486,"2,0,0,5,1",0
486,1,487,"2,3,6,2,1",2
487,1,488,"2,5,6,6,6",0
488,1,489,"4,4,1,4,6",1
489,1,490,"6,4,6,6,3",0
490,1,491,"2,0,6,5,6",0
491,1,492,"2,5,1,4,7",-1
492,1,493,"2,0,4,5,3",1
493,1,494,"4,6,6,7,4",-1
494,1,495,"4,0,6,4,7",-1
495,1,496,"4,4,4,5,6",0
496,1,497,"2,3,1,4,3",0
497,1,498,"4,4,1,4,3",0
498,1,499,"4,4,0,5,6",0
499,1,500,"5,5,4,4,2",0
500,1,501,"2,4,5,4,3",0
501,1,502,"4,4,6,4,3",0
502,1,503,"4,0,1,4,6",0
503,1,504,"2,2,6,7,4",-1
504,1,505,"5,0,5,2,3",0
505,1,506,"4,6,5,6,6",0
506,1,507,"4,0,5,5,1",0
507,1,508,"1,7,2,3,3",-1
508,1,509,"4,0,4,6,6",0
509,1,510,"1,0,4,1,3",0
510,1,511,"2,4,6,7,5",-1
511,1,512,"5,0,5,4,4",0
512,1,513,"4,4,6,1,5",0
513,1,514,"4,2,2,7,4",0
514,1,515,"5,4,4,7,3",-1
515,1,516,"4,4,6,4,0",0
516,1,517,"4,4,1,4,3",1
517,1,518,"4,6,5,4,6",0
518,1,519,"2,4,5,5,3",0
519,1,520,"4,2,6,4,3",0
520,1,521,"1,2,5,4,5",0
521,1,522,"1,2,6,4,6",0
522,1,523,"1,0,5,4,3",0
523,1,524,"2,0,2,7,0",1
524,1,525,"7,7,4,4,3",-1
525,1,526,"4,0,0,4,4",1
526,1,527,"5,4,5,2,1",1
527,1,528,"2,4,4,4,3",0
528,1,529,"4,7,5,5,6",-1
529,1,530,"3,4,4,5,5",0
530,1,531,"4,4,1,2,3",0
531,1,532,"4,4,6,4,3",0
532,1,533,"1,0,5,1,6",0
533,1,534,"4,4,5,4,5",0
534,1,535,"4,6,2,0,1",0
535,1,536,"4,4,4,7,3",-1
536,1,537,"7,0,5,2,3",-1
537,1,538,"4,4,6,4,4",0
538,1,539,"2,0,4,6,3",0
539,1,540,"4,4,2,2,6",0
540,1,541,"5,4,6,2,4",1
541,1,542,"4,5,5,4,3",0
542,1,543,"5,6,5,2,3",1
543,1,544,"4,4,5,4,4",0
544,1,545,"1,7,1,4,6",-1
545,1,546,"4,7,7,4,4",-2
546,1,547,"3,0,7,5,5",-1
547,1,548,"5,4,7,7,3",-2
548,1,549,"4,4,6,4,0",0
549,1,550,"1,4,1,0,6",1
550,1,551,"4,7,6,7,4",-2
551,1,552,"2,0,5,2,3",2
552,1,553,"4,5,4,4,3",0
553,1,554,"2,2,5,2,0",1
554,1,555,"4,4,2,2,5",0
555,1,556,"2,6,4,4,4",0
556,1,557,"4,4,2,4,7",-1
557,1,558,"2,0,5,4,3",0
558,1,559,"1,7,6,4,3",-1
559,1,560,"4,6,5,2,6",0
560,1,561,"3,4,4,2,3",1
561,1,562,"5,0,6,4,3",0
562,1,563,"4,4,6,4,4",0
563,1,564,"2,4,5,4,3",0
564,1,565,"1,4,6,1,7",-1
565,1,566,"2,4,5,2,2",1
566,1,567,"2,5,6,1,4",0
567,1,568,"1,0,6,2,3",0
568,1,569,"3,4,4,4,3",0
569,1,570,"7,6,6,2,6",-1
570,1,571,"2,4,6,6,7",-1
571,1,572,"4,7,6,7,3",-2
572,1,573,"2,0,5,4,7",-1
573,1,574,"4,4,7,2,3",-1
574,1,575,"2,0,5,4,4",1
575,1,576,"4,0,5,5,7",0
576,1,577,"2,2,6,3,5",1
577,1,578,"5,7,6,5,6",-1
578,1,579,"5,0,5,4,6",0
579,1,580,"4,4,5,6,5",0
580,1,581,"4,6,6,4,6",0
581,1,582,"4,7,1,7,4",-2
582,1,583,"2,7,6,5,6",-1
583,1,584,"5,4,4,4,3",0
584,1,585,"5,0,6,4,3",1
585,1,586,"2,4,6,4,1",1
586,1,587,"2,3,6,2,6",0
587,1,588,"0,0,5,2,3",1
588,1,589,"4,7,4,4,3",-1
589,1,590,"4,2,0,2,6",0
590,1,591,"2,2,7,4,3",-1
591,1,592,"4,2,6,3,3",0
592,1,593,"4,4,2,3,7",-1
593,1,594,"7,6,6,2,5",-1
594,1,595,"2,4,1,4,3",0
595,1,596,"4,4,6,4,3",0
596,1,597,"4,4,4,4,0",0
597,1,598,"4,4,1,2,1",0
598,1,599,"1,0,5,3,6",0
599,1,600,"4,6,5,7,3",0
600,1,601,"4,0,6,4,3",1
601,1,602,"4,2,4,0,3",1
602,1,603,"5,6,6,2,6",0
603,1,604,"2,5,4,7,7",-2
604,1,605,"4,1,1,2,3",0
605,1,606,"3,6,4,6,3",0
606,1,607,"1,4,7,7,4",-2
607,1,608,"4,4,6,7,3",-1
608,1,609,"1,4,5,4,3",1
609,1,610,"5,4,5,4,3",0
610,1,611,"4,4,4,5,4",0
611,1,612,"2,6,2,4,3",1
612,1,613,"2,0,5,2,3",1
613,1,614,"2,7,2,1,3",-1
614,1,615,"2,1,7,4,6",-1
615,1,616,"5,7,5,3,7",-2
616,1,617,"3,1,6,6,3",0
617,1,618,"4,0,4,1,7",-1
618,1,619,"2,5,5,4,3",1
619,1,620,"2,0,6,4,3",1
620,1,621,"4,4,5,3,3",1
621,1,622,"7,6,6,1,3",-1
622,1,623,"4,2,2,4,7",-1
623,1,624,"4,4,6,3,3",0
624,1,625,"4,4,5,4,3",0
625,1,626,"1,0,5,1,1",0
626,1,627,"4,4,6,4,4",0
627,1,628,"2,4,6,5,3",1
628,1,629,"4,4,1,4,6",0
629,1,630,"4,7,6,4,3",-1
630,1,631,"1,4,4,6,6",1
631,1,632,"2,6,6,4,6",1
632,1,633,"4,0,7,4,3",-1
633,1,634,"4,7,2,4,2",-51
634,1,635,"4,5,6,4,3",1
635,1,636,"4,4,5,4,3",1
636,1,637,"4,6,2,2,7",-51
637,1,638,"3,7,4,4,4",-51
638,1,639,"7,6,5,3,3",-1
639,1,640,"4,0,1,2,3",0
640,1,641,"4,3,6,4,3",0
641,1,642,"2,0,5,7,3",-1
642,1,643,"2,4,2,4,5",1
643,1,644,"2,4,6,4,6",0
644,1,645,"1,4,2,6,4",0
645,1,646,"2,7,6,0,4",-1
646,1,647,"4,7,1,4,7",-2
647,1,648,"4,2,5,5,7",-1
648,1,649,"0,0,4,4,6",0
649,1,650,"4,0,6,6,3",1
650,1,651,"4,0,5,0,7",-1
651,1,652,"7,4,6,4,3",-1
652,1,653,"4,4,6,2,6",0
653,1,654,"1,5,5,2,3",0
654,1,655,"2,4,6,7,3",-1
655,1,656,"3,4,6,4,6",0
656,1,657,"2,0,5,1,7",0
657,1,658,"4,0,0,4,6",0
658,1,659,"2,6,3,0,6",0
659,1,660,"4,6,6,4,6",0
660,1,661,"7,0,4,4,5",-1
661,1,662,"3,0,1,5,3",0
662,1,663,"5,0,4,4,3",1
663,1,664,"4,7,6,4,6",-1
664,1,665,"2,1,6,2,3",0
665,1,666,"4,4,5,2,7",-1
666,1,667,"4,7,5,4,3",-1
667,1,668,"4,6,4,4,3",0
668,1,669,"4,4,6,4,4",0
669,1,670,"0,0,6,4,5",1
670,1,671,"4,0,6,4,3",0
671,1,672,"1,4,5,4,7",-1
672,1,673,"4,4,2,6,6",0
673,1,674,"6,0,5,4,1",0
674,1,675,"4,0,4,4,7",-1
675,1,676,"4,0,4,2,3",0
676,1,677,"4,4,5,4,6",0
677,1,678,"4,0,6,4,3",2
678,1,679,"4,7,6,3,3",0
679,1,680,"2,4,6,6,6",0
680,1,681,"4,7,6,4,3",0
681,1,682,"2,0,6,3,6",1
682,1,683,"4,6,6,4,7",-1
683,1,684,"2,6,6,2,3",0
684,1,685,"4,4,3,4,1",0
685,1,686,"4,7,2,7,4",-2
686,1,687,"4,4,5,4,3",0
687,1,688,"4,5,6,4,3",0
688,1,689,"6,7,5,4,4",-1
689,1,690,"4,4,6,4,7",-1
690,1,691,"1,0,5,4,7",0
691,1,692,"4,4,1,5,3",0
692,1,693,"2,0,5,4,7",-1
693,1,694,"2,2,4,4,3",0
694,1,695,"4,2,5,4,3",0
695,1,696,"4,5,6,6,6",0
696,1,697,"4,6,4,1,3",0
697,1,698,"1,3,2,2,4",0
698,1,699,"4,0,7,4,6",-1
699,1,700,"4,4,6,7,3",-1
700,1,701,"4,2,1,7,3",0
701,1,702,"4,7,6,2,6",-1
702,1,703,"4,4,5,1,6",0
703,1,704,"4,4,5,4,7",-1
704,1,705,"7,3,6,4,3",-1
705,1,706,"4,4,2,7,2",-1
706,1,707,"4,4,6,4,3",0
707,1,708,"4,4,6,2,3",1
708,1,709,"4,4,4,2,3",1
709,1,710,"4,7,6,1,3",0
710,1,711,"4,4,7,4,3",-1
711,1,712,"4,3,4,2,7",-1
712,1,713,"4,0,7,3,6",-1
713,1,714,"4,4,1,0,6",0
714,1,715,"2,0,7,2,6",0
715,1,716,"1,5,6,7,6",-1
716,1,717,"2,4,6,6,6",0
717,1,718,"7,0,1,4,4",-1
718,1,719,"1,6,5,4,2",0
719,1,720,"3,6,4,6,3",0
720,1,721,"4,0,4,4,6",0
721,1,722,"4,4,2,4,3",0
722,1,723,"2,7,1,6,4",-1
723,1,724,"1,0,6,5,3",0
724,1,725,"4,4,5,7,2",-1
